Date,12/31/03,12/31/03
Time,16:00:00,16:00:00
Y_Unit_Label,Acceleration (g),Acceleration (g)
X_Dimension,Time (s),Time (s)
X0,0.00E+00,0.00E+00
Delta_X,0.000488,0.000488
***End_of_Header***,,
X_Value,tapping near accel - sink cntr - Acceleration - platform,tapping near accel - sink cntr - Acceleration - table
0,0.16584,0.004643
0.000488,0.147136,0.004942
0.000977,0.187593,0.005378
0.001465,0.209338,0.005783
0.001953,0.2129,0.006745
0.002441,0.186974,0.008324
0.00293,0.120606,0.009199
0.003418,0.154517,0.009865
0.003906,0.103047,0.008779
0.004395,0.196763,0.007923
0.004883,0.132983,0.012951
0.005371,0.052263,0.008939
0.005859,0.128394,0.00747
0.006348,0.109776,0.005506
0.006836,0.086745,0.003635
0.007324,0.023407,0.004807
0.007812,0.036729,0.003269
0.008301,0.011088,0.004645
0.008789,-0.030383,0.004792
0.009277,-0.085676,0.0041
0.009766,-0.151749,0.003618
0.010254,-0.183171,0.00216
0.010742,-0.203418,0.001714
0.01123,-0.252151,0.000642
0.011719,-0.288455,0.000755
0.012207,-0.277741,-0.000118
0.012695,-0.305526,-0.000106
0.013184,-0.333646,-0.001109
0.013672,-0.380368,-0.001676
0.01416,-0.38908,-0.003318
0.014648,-0.400117,-0.004773
0.015137,-0.415578,-0.006117
0.015625,-0.42206,-0.006956
0.016113,-0.415878,-0.009211
0.016602,-0.418185,-0.011373
0.01709,-0.400847,-0.012737
0.017578,-0.364929,-0.013425
0.018066,-0.341014,-0.013833
0.018555,-0.348313,-0.013958
0.019043,-0.354218,-0.015451
0.019531,-0.288266,-0.015474
0.02002,-0.236626,-0.016009
0.020508,-0.214886,-0.012894
0.020996,-0.14909,-0.012579
0.021484,-0.102073,-0.006624
0.021973,-0.077398,-0.013016
0.022461,-0.063268,-0.017273
0.022949,0.037935,-0.008214
0.023437,0.006528,-0.005044
0.023926,0.067498,-0.000521
0.024414,0.131005,-0.005862
0.024902,0.124392,-0.00167
0.025391,0.234589,-0.003964
0.025879,0.205199,-0.005048
0.026367,0.257381,-0.003017
0.026855,0.343807,-0.007486
0.027344,0.358856,-0.003967
0.027832,0.314288,-0.01218
0.02832,0.326924,-0.009809
0.028809,0.357132,-0.006015
0.029297,0.31542,-0.001873
0.029785,0.351444,0.006871
0.030273,0.415362,0.003125
0.030762,0.422304,0.004615
0.03125,0.391684,0.006054
0.031738,0.401317,0.008038
0.032227,0.376323,0.010809
0.032715,0.288127,0.007546
0.033203,0.308423,0.007717
0.033691,0.322286,0.008459
0.03418,0.269204,0.00517
0.034668,0.195716,0.006216
0.035156,0.194811,0.006991
0.035645,0.132426,0.006485
0.036133,0.11773,0.005536
0.036621,0.107969,0.006198
0.037109,0.098759,0.008633
0.037598,0.032487,0.008657
0.038086,-0.023654,0.007928
0.038574,-0.024862,0.006938
0.039062,-0.045573,0.007352
